Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,100,1755172708768,1755172708769.982,1755172708770.607
3,6,100,1755172708781,1755172708782.808,1755172708783.381
3,6,100,1755172708794,1755172708796.499,1755172708797.572
3,6,100,1755172708809,1755172708811.645,1755172708812.2083
3,6,100,1755172708824,1755172708825.691,1755172708826.314
3,6,100,1755172708836,1755172708838.086,1755172708839.0798
3,6,100,1755172708850,1755172708851.531,1755172708852.032
3,6,100,1755172708864,1755172708865.671,1755172708866.125
3,6,100,1755172708878,1755172708879.757,1755172708880.197
3,6,100,1755172708892,1755172708894.6528,1755172708895.156
3,6,100,1755172708906,1755172708908.39,1755172708909.033
3,6,100,1755172708920,1755172708921.8508,1755172708922.344
3,6,100,1755172708934,1755172708936.23,1755172708936.764
3,6,100,1755172708948,1755172708950.233,1755172708950.7131
3,6,100,1755172708961,1755172708963.431,1755172708964.0
3,6,100,1755172708976,1755172708978.187,1755172708978.7659
3,6,100,1755172708990,1755172708992.219,1755172708992.737
3,6,100,1755172709004,1755172709006.603,1755172709007.1711
3,6,100,1755172709017,1755172709019.0598,1755172709019.6108
3,6,100,1755172709031,1755172709033.0132,1755172709033.639
3,6,100,1755172709043,1755172709045.8088,1755172709046.561
3,6,100,1755172709056,1755172709058.317,1755172709058.931
3,6,100,1755172709069,1755172709070.721,1755172709071.35
3,6,100,1755172709081,1755172709082.816,1755172709083.461
3,6,100,1755172709093,1755172709095.9539,1755172709096.641
3,6,100,1755172709108,1755172709110.787,1755172709112.019
3,6,100,1755172709123,1755172709128.5042,1755172709129.154
3,6,100,1755172709137,1755172709139.595,1755172709140.159
3,6,100,1755172709151,1755172709153.3591,1755172709154.229
3,6,100,1755172709165,1755172709167.263,1755172709168.098
3,6,100,1755172709178,1755172709180.1,1755172709180.8
3,6,100,1755172709191,1755172709193.749,1755172709194.918
3,6,100,1755172709204,1755172709206.253,1755172709206.95
3,6,100,1755172709216,1755172709218.1,1755172709218.7148
